event-id,visible,timestamp,long,lat,argos:best-level,argos:calcul-freq,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individualID,study-name
9018011316,True,32:00.0,-121.979,36.715,,,,36.715,,,-121.979,,,,,gps,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020522,True,44:53.0,-121.919,36.786,-129.0,651709.68,50.0,36.786,29.249000000000002,0,-121.919,-156.83,5.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020523,True,03:55.0,-122.48200000000001,37.348,-128.0,651718.31,60.0,37.348,41.666000000000004,0,-122.48200000000001,-140.217,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020524,True,28:32.0,-122.791,37.668,-125.0,651709.68,0.0,37.668,42.711999999999996,B,-122.791,-147.707,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020525,True,02:06.0,-123.367,38.166,-128.0,651703.0,0.0,38.166,30.243000000000002,A,-123.367,-161.273,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020526,True,00:50.0,-124.01299999999999,38.463,-131.0,651709.68,0.0,38.463,40.101,B,-124.01299999999999,-133.417,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020527,True,19:51.0,-123.285,37.763000000000005,-131.0,651709.68,0.0,37.763000000000005,33.124,B,-123.285,-145.44299999999998,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020528,True,25:46.0,-123.324,37.583,-126.0,651709.68,0.0,37.583,33.802,B,-123.324,-142.36,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020529,True,08:49.0,-122.929,36.576,-129.0,651733.18,0.0,36.576,33.125,A,-122.929,-139.339,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020530,True,05:37.0,-123.137,36.66,-124.0,651733.18,10.0,36.66,34.655,Z,-123.137,-131.404,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-02082,2005CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
