feature_id,DeploymentID,timestamp_gmt,latitude,longitude,sats_used,residual
81333,2014CA-MK10-05803,8/4/2014 20:25,34.0118,-119.0465,9,11.8
81334,2014CA-MK10-05803,8/4/2014 20:32,34.013000000000005,-119.0376,8,11.3
81335,2014CA-MK10-05803,8/4/2014 20:39,34.0137,-119.0389,5,9.6
81336,2014CA-MK10-05803,8/4/2014 20:48,34.0074,-119.0423,6,8.0
81337,2014CA-MK10-05803,8/4/2014 20:57,34.0055,-119.0487,7,17.0
81338,2014CA-MK10-05803,8/4/2014 21:04,34.0017,-119.0504,8,14.9
81339,2014CA-MK10-05803,8/4/2014 21:13,33.9973,-119.0521,7,7.5
81340,2014CA-MK10-05803,8/4/2014 21:28,33.9918,-119.057,6,8.4
81341,2014CA-MK10-05803,8/4/2014 21:38,33.9879,-119.0506,5,8.2
81342,2014CA-MK10-05803,8/4/2014 21:45,33.9876,-119.046,5,4.5
81343,2014CA-MK10-05803,8/4/2014 21:53,33.9853,-119.0394,7,7.1
81344,2014CA-MK10-05803,8/4/2014 22:00,33.9871,-119.0342,7,9.2
81345,2014CA-MK10-05803,8/4/2014 22:07,33.9887,-119.031,6,16.6
81346,2014CA-MK10-05803,8/4/2014 22:14,33.9887,-119.0326,5,5.6
81347,2014CA-MK10-05803,8/4/2014 22:28,33.9919,-119.0291,5,3.5
81348,2014CA-MK10-05803,8/4/2014 22:36,33.9984,-119.0287,5,10.1
81349,2014CA-MK10-05803,8/4/2014 22:44,34.0045,-119.0284,6,4.3
81350,2014CA-MK10-05803,8/4/2014 22:52,34.0077,-119.0332,7,8.7
81351,2014CA-MK10-05803,8/4/2014 23:00,34.0046,-119.0405,5,8.3
81352,2014CA-MK10-05803,8/4/2014 23:10,34.0057,-119.0488,6,8.2
81353,2014CA-MK10-05803,8/4/2014 23:18,34.0076,-119.0507,5,2.5
81354,2014CA-MK10-05803,8/4/2014 23:26,34.0091,-119.0519,8,7.7
81355,2014CA-MK10-05803,8/4/2014 23:33,34.0074,-119.0556,7,11.7
81356,2014CA-MK10-05803,8/4/2014 23:42,34.0081,-119.0562,6,10.2
81357,2014CA-MK10-05803,8/4/2014 23:49,34.0088,-119.0569,7,12.7
81358,2014CA-MK10-05803,8/5/2014 0:11,34.0109,-119.0603,7,16.1
81359,2014CA-MK10-05803,8/5/2014 0:19,34.012,-119.068,6,0.8
81360,2014CA-MK10-05803,8/5/2014 0:30,34.014,-119.0758,6,9.8
81361,2014CA-MK10-05803,8/5/2014 0:44,34.0194,-119.0868,6,11.7
81362,2014CA-MK10-05803,8/5/2014 0:51,34.0231,-119.0911,8,11.8
81363,2014CA-MK10-05803,8/5/2014 0:58,34.0273,-119.0962,6,10.7
81364,2014CA-MK10-05803,8/5/2014 1:06,34.0328,-119.0997,8,5.7
81365,2014CA-MK10-05803,8/5/2014 1:16,34.0409,-119.0999,7,8.4
81366,2014CA-MK10-05803,8/5/2014 1:24,34.0437,-119.095,8,7.0
81367,2014CA-MK10-05803,8/5/2014 1:31,34.0406,-119.0876,8,12.8
81368,2014CA-MK10-05803,8/5/2014 1:38,34.0419,-119.0791,7,7.8
81369,2014CA-MK10-05803,8/5/2014 1:45,34.0421,-119.0712,7,8.7
81370,2014CA-MK10-05803,8/5/2014 1:52,34.041,-119.0635,6,3.3
81371,2014CA-MK10-05803,8/5/2014 1:59,34.0404,-119.0561,6,8.9
81372,2014CA-MK10-05803,8/5/2014 2:06,34.0382,-119.0479,7,9.6
81373,2014CA-MK10-05803,8/5/2014 2:13,34.0358,-119.0399,7,9.5
81374,2014CA-MK10-05803,8/5/2014 2:20,34.0316,-119.0339,6,14.8
81375,2014CA-MK10-05803,8/5/2014 2:29,34.0246,-119.0275,5,0.4
81376,2014CA-MK10-05803,8/5/2014 2:39,34.0131,-119.0296,5,0.8
81377,2014CA-MK10-05803,8/5/2014 2:47,34.0043,-119.0346,7,12.4
81378,2014CA-MK10-05803,8/5/2014 2:54,33.9977,-119.0314,7,18.1
81379,2014CA-MK10-05803,8/5/2014 3:02,33.9963,-119.0278,5,5.5
81380,2014CA-MK10-05803,8/5/2014 3:25,33.9916,-119.0232,7,8.8
81381,2014CA-MK10-05803,8/5/2014 3:32,33.9894,-119.0177,6,16.6
81382,2014CA-MK10-05803,8/5/2014 3:39,33.9906,-119.0118,5,8.2
81383,2014CA-MK10-05803,8/5/2014 3:46,33.99,-119.0055,7,7.4
81384,2014CA-MK10-05803,8/5/2014 3:53,33.9885,-118.9993,5,1.7
81385,2014CA-MK10-05803,8/5/2014 4:00,33.9872,-118.9951,7,16.2
81386,2014CA-MK10-05803,8/5/2014 4:07,33.9869,-118.9906,6,11.2
81387,2014CA-MK10-05803,8/5/2014 4:14,33.9856,-118.9863,8,10.5
81388,2014CA-MK10-05803,8/5/2014 4:21,33.9864,-118.9813,8,7.8
81389,2014CA-MK10-05803,8/5/2014 4:52,33.9897,-118.9624,8,16.6
81390,2014CA-MK10-05803,8/5/2014 4:59,33.992,-118.9607,7,3.0
81391,2014CA-MK10-05803,8/5/2014 5:13,33.9971,-118.9549,6,9.5
81392,2014CA-MK10-05803,8/5/2014 5:29,34.0022,-118.9474,6,7.2
81393,2014CA-MK10-05803,8/5/2014 5:36,34.004,-118.9436,7,7.1
81394,2014CA-MK10-05803,8/5/2014 5:45,34.0028,-118.9402,7,16.0
81395,2014CA-MK10-05803,8/5/2014 5:52,34.0025,-118.9357,6,15.0
81396,2014CA-MK10-05803,8/5/2014 6:01,34.0002,-118.9303,4,0.5
81397,2014CA-MK10-05803,8/5/2014 6:08,33.9997,-118.9241,7,11.9
81398,2014CA-MK10-05803,8/5/2014 6:15,33.9989,-118.919,9,5.2
81399,2014CA-MK10-05803,8/5/2014 6:22,33.9979,-118.9134,8,3.6
81400,2014CA-MK10-05803,8/5/2014 6:29,33.9967,-118.9103,7,11.4
81401,2014CA-MK10-05803,8/5/2014 6:44,33.9926,-118.9001,8,13.0
81402,2014CA-MK10-05803,8/5/2014 7:00,33.9898,-118.8897,8,13.5
81403,2014CA-MK10-05803,8/5/2014 7:08,33.9892,-118.8837,9,12.2
81404,2014CA-MK10-05803,8/5/2014 7:15,33.9896,-118.87899999999999,8,6.1
81405,2014CA-MK10-05803,8/5/2014 7:22,33.9883,-118.8748,7,4.5
81406,2014CA-MK10-05803,8/5/2014 7:29,33.9856,-118.87200000000001,5,0.6
81407,2014CA-MK10-05803,8/5/2014 7:38,33.9843,-118.8665,8,14.6
81408,2014CA-MK10-05803,8/5/2014 7:45,33.984,-118.8611,7,9.3
81409,2014CA-MK10-05803,8/5/2014 7:52,33.9815,-118.8592,8,3.8
81410,2014CA-MK10-05803,8/5/2014 7:59,33.9798,-118.8548,10,13.2
81411,2014CA-MK10-05803,8/5/2014 8:08,33.978,-118.8503,6,19.0
81412,2014CA-MK10-05803,8/5/2014 8:15,33.9769,-118.8465,10,14.6
81413,2014CA-MK10-05803,8/5/2014 8:24,33.9746,-118.8428,8,11.6
81414,2014CA-MK10-05803,8/5/2014 8:33,33.9732,-118.8388,8,15.9
81415,2014CA-MK10-05803,8/5/2014 8:41,33.972,-118.8341,6,17.0
81416,2014CA-MK10-05803,8/5/2014 8:48,33.972,-118.8306,8,15.3
81417,2014CA-MK10-05803,8/5/2014 8:55,33.9713,-118.8263,7,17.1
81418,2014CA-MK10-05803,8/5/2014 9:11,33.9734,-118.8221,7,12.6
81419,2014CA-MK10-05803,8/5/2014 9:18,33.9726,-118.8238,8,14.3
81420,2014CA-MK10-05803,8/5/2014 9:26,33.9736,-118.8261,8,22.5
81421,2014CA-MK10-05803,8/5/2014 9:33,33.9738,-118.8288,8,15.0
81422,2014CA-MK10-05803,8/5/2014 9:48,33.9725,-118.8354,8,14.6
81423,2014CA-MK10-05803,8/5/2014 9:55,33.9713,-118.8382,8,15.6
81424,2014CA-MK10-05803,8/5/2014 10:02,33.9724,-118.84100000000001,5,13.5
81425,2014CA-MK10-05803,8/5/2014 10:19,33.9716,-118.8484,7,10.9
81426,2014CA-MK10-05803,8/5/2014 10:26,33.9698,-118.8507,5,3.4
81427,2014CA-MK10-05803,8/5/2014 10:33,33.9677,-118.8521,6,11.6
81428,2014CA-MK10-05803,8/5/2014 10:40,33.9657,-118.8538,6,3.8
81429,2014CA-MK10-05803,8/5/2014 10:56,33.9655,-118.8597,7,5.2
81430,2014CA-MK10-05803,8/5/2014 11:03,33.9654,-118.8626,5,9.7
81431,2014CA-MK10-05803,8/5/2014 11:11,33.9666,-118.8655,6,5.3
81432,2014CA-MK10-05803,8/5/2014 11:18,33.9677,-118.8682,6,3.2
81433,2014CA-MK10-05803,8/5/2014 11:25,33.9687,-118.8708,7,8.8
81434,2014CA-MK10-05803,8/5/2014 11:33,33.9701,-118.8739,7,6.7
81435,2014CA-MK10-05803,8/5/2014 11:40,33.9721,-118.8745,4,0.5
81436,2014CA-MK10-05803,8/5/2014 11:49,33.9755,-118.875,6,7.5
81437,2014CA-MK10-05803,8/5/2014 11:56,33.9774,-118.8767,7,6.4
81438,2014CA-MK10-05803,8/5/2014 12:04,33.9793,-118.8798,9,10.4
81439,2014CA-MK10-05803,8/5/2014 12:11,33.9812,-118.8831,6,4.0
81440,2014CA-MK10-05803,8/5/2014 12:18,33.9825,-118.8868,6,2.7
81441,2014CA-MK10-05803,8/5/2014 12:29,33.9842,-118.8934,6,4.9
81442,2014CA-MK10-05803,8/5/2014 12:38,33.9865,-118.8986,8,10.8
81443,2014CA-MK10-05803,8/5/2014 12:45,33.9895,-118.9026,6,2.2
81444,2014CA-MK10-05803,8/5/2014 12:52,33.9923,-118.9073,8,5.4
81445,2014CA-MK10-05803,8/5/2014 13:00,33.9948,-118.9146,7,6.9
81446,2014CA-MK10-05803,8/5/2014 13:08,33.9967,-118.9219,6,4.0
81447,2014CA-MK10-05803,8/5/2014 13:16,33.9992,-118.9301,6,8.5
81448,2014CA-MK10-05803,8/5/2014 13:26,34.0006,-118.9403,8,10.3
81449,2014CA-MK10-05803,8/5/2014 13:33,34.0003,-118.9479,10,9.4
81450,2014CA-MK10-05803,8/5/2014 13:44,33.9992,-118.9586,9,8.9
81451,2014CA-MK10-05803,8/5/2014 13:53,34.0001,-118.9674,9,7.4
81452,2014CA-MK10-05803,8/5/2014 14:06,33.9991,-118.9757,9,12.0
81453,2014CA-MK10-05803,8/5/2014 14:18,33.9955,-118.9806,11,6.6
81454,2014CA-MK10-05803,8/5/2014 14:30,33.9918,-118.9851,9,12.6
81455,2014CA-MK10-05803,8/5/2014 14:40,33.9901,-118.9822,9,8.7
81456,2014CA-MK10-05803,8/5/2014 14:52,33.989000000000004,-118.9815,8,11.8
81457,2014CA-MK10-05803,8/5/2014 15:03,33.9881,-118.9803,10,13.2
81458,2014CA-MK10-05803,8/5/2014 15:16,33.9875,-118.9804,10,18.4
81459,2014CA-MK10-05803,8/5/2014 15:28,33.9859,-118.9814,9,13.9
81460,2014CA-MK10-05803,8/5/2014 15:36,33.9842,-118.9882,8,15.0
81461,2014CA-MK10-05803,8/5/2014 15:49,33.9835,-118.9936,11,9.1
81462,2014CA-MK10-05803,8/5/2014 16:01,33.9839,-118.992,8,9.7
81463,2014CA-MK10-05803,8/5/2014 16:14,33.9845,-118.9882,9,7.0
81464,2014CA-MK10-05803,8/5/2014 16:28,33.9825,-118.9858,9,12.9
81465,2014CA-MK10-05803,8/5/2014 16:40,33.9832,-118.9879,9,12.1
81466,2014CA-MK10-05803,8/5/2014 16:54,33.9839,-118.9845,10,11.0
81467,2014CA-MK10-05803,8/5/2014 17:08,33.9829,-118.9797,7,10.3
81468,2014CA-MK10-05803,8/5/2014 17:22,33.9856,-118.9748,7,8.4
81469,2014CA-MK10-05803,8/5/2014 17:35,33.9825,-118.9815,6,9.9
81470,2014CA-MK10-05803,8/5/2014 17:49,33.9821,-118.9842,10,12.3
81471,2014CA-MK10-05803,8/5/2014 18:03,33.9821,-118.9844,10,11.5
81472,2014CA-MK10-05803,8/5/2014 18:17,33.9803,-118.9841,7,15.0
81473,2014CA-MK10-05803,8/5/2014 18:33,33.9814,-118.9815,9,3.0
81474,2014CA-MK10-05803,8/5/2014 18:49,33.982,-118.9866,4,0.3
81475,2014CA-MK10-05803,8/5/2014 19:04,33.9821,-118.9824,8,6.4
81476,2014CA-MK10-05803,8/5/2014 19:18,33.9808,-118.975,10,19.3
81477,2014CA-MK10-05803,8/5/2014 19:33,33.9772,-118.964,8,7.8
81478,2014CA-MK10-05803,8/5/2014 19:43,33.9776,-118.962,5,13.5
81479,2014CA-MK10-05803,8/5/2014 19:50,33.9804,-118.9641,4,2.5
81480,2014CA-MK10-05803,8/5/2014 19:59,33.9752,-118.9634,8,6.6
81481,2014CA-MK10-05803,8/5/2014 20:06,33.978,-118.9586,7,11.3
81482,2014CA-MK10-05803,8/5/2014 20:14,33.9786,-118.9563,7,14.0
81483,2014CA-MK10-05803,8/5/2014 20:25,33.9773,-118.9635,8,7.4
81484,2014CA-MK10-05803,8/5/2014 20:35,33.9753,-118.9608,6,3.7
81485,2014CA-MK10-05803,8/5/2014 20:44,33.9728,-118.9632,6,6.8
81486,2014CA-MK10-05803,8/5/2014 20:56,33.9742,-118.9584,8,21.1
81487,2014CA-MK10-05803,8/5/2014 21:04,33.9757,-118.9612,7,8.0
81488,2014CA-MK10-05803,8/5/2014 21:12,33.9802,-118.9672,8,16.3
81489,2014CA-MK10-05803,8/5/2014 21:24,33.9852,-118.9737,8,8.6
81490,2014CA-MK10-05803,8/5/2014 21:35,33.986,-118.9828,7,9.9
81491,2014CA-MK10-05803,8/5/2014 21:47,33.9896,-118.9916,7,2.0
81492,2014CA-MK10-05803,8/5/2014 21:54,33.9905,-118.9983,7,17.5
81493,2014CA-MK10-05803,8/5/2014 22:01,33.9898,-119.0047,8,19.5
81494,2014CA-MK10-05803,8/5/2014 22:11,33.9937,-119.0165,6,4.1
81495,2014CA-MK10-05803,8/5/2014 22:28,34.0086,-119.0348,6,10.2
81496,2014CA-MK10-05803,8/5/2014 22:39,34.0193,-119.0444,6,6.2
81497,2014CA-MK10-05803,8/5/2014 22:47,34.0242,-119.054,6,7.1
81498,2014CA-MK10-05803,8/5/2014 22:57,34.0331,-119.0637,8,16.0
81499,2014CA-MK10-05803,8/5/2014 23:07,34.0439,-119.0697,5,1.5
81500,2014CA-MK10-05803,8/5/2014 23:14,34.049,-119.0778,5,11.1
81501,2014CA-MK10-05803,8/5/2014 23:22,34.0483,-119.0901,8,9.3
81502,2014CA-MK10-05803,8/5/2014 23:29,34.0467,-119.1002,8,9.6
81503,2014CA-MK10-05803,8/5/2014 23:36,34.0461,-119.1073,8,8.7
81504,2014CA-MK10-05803,8/5/2014 23:43,34.0484,-119.1124,8,6.6
81505,2014CA-MK10-05803,8/5/2014 23:50,34.0456,-119.1198,7,9.1
81506,2014CA-MK10-05803,8/5/2014 23:57,34.0437,-119.1287,6,1.5
81507,2014CA-MK10-05803,8/6/2014 0:12,34.0417,-119.1315,6,4.4
81508,2014CA-MK10-05803,8/6/2014 0:21,34.0436,-119.1332,5,1.3
81509,2014CA-MK10-05803,8/6/2014 0:28,34.042,-119.1304,8,10.9
81510,2014CA-MK10-05803,8/6/2014 0:37,34.0426,-119.1268,8,13.8
81511,2014CA-MK10-05803,8/6/2014 0:44,34.0439,-119.1355,5,0.4
81512,2014CA-MK10-05803,8/6/2014 0:52,34.041,-119.1389,6,1.2
81513,2014CA-MK10-05803,8/6/2014 1:03,34.0487,-119.1471,8,6.7
81514,2014CA-MK10-05803,8/6/2014 1:19,34.0515,-119.1675,5,0.5
81515,2014CA-MK10-05803,8/6/2014 1:26,34.0551,-119.1748,7,7.6
81516,2014CA-MK10-05803,8/6/2014 1:35,34.0608,-119.1821,6,9.9
81517,2014CA-MK10-05803,8/6/2014 1:45,34.0592,-119.1957,5,13.9
81518,2014CA-MK10-05803,8/6/2014 1:52,34.0589,-119.2029,7,8.8
81519,2014CA-MK10-05803,8/6/2014 2:00,34.0566,-119.2129,6,6.7
81520,2014CA-MK10-05803,8/6/2014 2:08,34.0514,-119.2149,7,12.6
81521,2014CA-MK10-05803,8/6/2014 2:24,34.047,-119.1963,5,7.2
81522,2014CA-MK10-05803,8/6/2014 2:31,34.0459,-119.1847,5,2.4
81523,2014CA-MK10-05803,8/6/2014 2:38,34.0479,-119.17399999999999,5,3.1
81524,2014CA-MK10-05803,8/6/2014 2:47,34.0527,-119.1613,5,1.0
81525,2014CA-MK10-05803,8/6/2014 2:55,34.0516,-119.1555,7,14.2
81526,2014CA-MK10-05803,8/6/2014 3:05,34.0566,-119.1473,6,9.9
81527,2014CA-MK10-05803,8/6/2014 3:17,34.0609,-119.1414,8,11.7
81528,2014CA-MK10-05803,8/6/2014 3:25,34.0633,-119.1416,5,8.6
81529,2014CA-MK10-05803,8/6/2014 3:32,34.0663,-119.1395,6,6.7
81530,2014CA-MK10-05803,8/6/2014 3:39,34.0685,-119.1351,5,1.4
81531,2014CA-MK10-05803,8/6/2014 3:54,34.0667,-119.1202,6,10.3
81532,2014CA-MK10-05803,8/6/2014 4:01,34.0659,-119.1138,7,16.8
81533,2014CA-MK10-05803,8/6/2014 4:08,34.0638,-119.1092,9,8.5
81534,2014CA-MK10-05803,8/6/2014 4:15,34.0616,-119.1033,5,7.7
81535,2014CA-MK10-05803,8/6/2014 4:23,34.0612,-119.0971,7,17.5
81536,2014CA-MK10-05803,8/6/2014 4:31,34.0609,-119.0905,7,9.8
81537,2014CA-MK10-05803,8/6/2014 4:39,34.0608,-119.0843,6,8.0
81538,2014CA-MK10-05803,8/6/2014 4:47,34.0596,-119.0772,8,5.5
81539,2014CA-MK10-05803,8/6/2014 4:55,34.058,-119.0707,8,7.5
81540,2014CA-MK10-05803,8/6/2014 5:10,34.0553,-119.0585,7,6.8
81541,2014CA-MK10-05803,8/6/2014 5:17,34.0539,-119.0533,7,4.7
81542,2014CA-MK10-05803,8/6/2014 5:24,34.0522,-119.0472,6,9.8
81543,2014CA-MK10-05803,8/6/2014 5:31,34.051,-119.0406,5,1.0
81544,2014CA-MK10-05803,8/6/2014 5:38,34.0485,-119.0351,6,1.2
81545,2014CA-MK10-05803,8/6/2014 5:45,34.0463,-119.0294,7,19.7
81546,2014CA-MK10-05803,8/6/2014 5:53,34.0435,-119.022,6,5.5
81547,2014CA-MK10-05803,8/6/2014 6:00,34.0424,-119.0164,9,11.2
81548,2014CA-MK10-05803,8/6/2014 6:07,34.0402,-119.0101,8,10.7
81549,2014CA-MK10-05803,8/6/2014 6:15,34.0376,-119.0029,7,5.0
81550,2014CA-MK10-05803,8/6/2014 6:30,34.0332,-118.9911,8,11.1
81551,2014CA-MK10-05803,8/6/2014 6:45,34.0286,-118.9794,7,7.6
81552,2014CA-MK10-05803,8/6/2014 6:53,34.0269,-118.9725,8,9.7
81553,2014CA-MK10-05803,8/6/2014 7:01,34.0233,-118.9653,9,9.8
81554,2014CA-MK10-05803,8/6/2014 7:08,34.0207,-118.9598,9,11.9
81555,2014CA-MK10-05803,8/6/2014 7:30,34.0091,-118.9443,8,9.8
81556,2014CA-MK10-05803,8/6/2014 7:37,34.006,-118.9411,8,6.5
81557,2014CA-MK10-05803,8/6/2014 7:44,34.001999999999995,-118.9375,9,16.3
81558,2014CA-MK10-05803,8/6/2014 7:51,33.9984,-118.9365,8,8.5
81559,2014CA-MK10-05803,8/6/2014 7:59,33.9948,-118.9318,8,6.3
81560,2014CA-MK10-05803,8/6/2014 8:06,33.9917,-118.9277,5,0.3
81561,2014CA-MK10-05803,8/6/2014 8:13,33.9892,-118.9246,7,20.9
81562,2014CA-MK10-05803,8/6/2014 8:21,33.9854,-118.9217,7,4.7
81563,2014CA-MK10-05803,8/6/2014 8:46,33.977,-118.9104,6,12.7
81564,2014CA-MK10-05803,8/6/2014 8:53,33.9776,-118.9065,4,0.4
81565,2014CA-MK10-05803,8/6/2014 9:00,33.9761,-118.90299999999999,7,7.7
81566,2014CA-MK10-05803,8/6/2014 9:07,33.9763,-118.8994,9,1.7
81567,2014CA-MK10-05803,8/6/2014 9:16,33.9775,-118.8969,6,2.0
81568,2014CA-MK10-05803,8/6/2014 9:23,33.9787,-118.8946,7,14.4
81569,2014CA-MK10-05803,8/6/2014 9:32,33.9797,-118.8974,7,15.0
81570,2014CA-MK10-05803,8/6/2014 9:41,33.9815,-118.8983,6,7.7
81571,2014CA-MK10-05803,8/6/2014 9:50,33.9824,-118.8957,7,16.5
81572,2014CA-MK10-05803,8/6/2014 9:57,33.9813,-118.8933,9,13.7
81573,2014CA-MK10-05803,8/6/2014 10:11,33.9828,-118.8864,6,2.0
81574,2014CA-MK10-05803,8/6/2014 10:18,33.9841,-118.8838,6,3.4
