year,states,Lon,Lat
2028,Maranhao,-46.14182423,-5.149883425
2019,Mato Grosso,-54.73750019,-10.52707548
2029,Para,-51.06881645,-2.31888427
2020,Para,-50.71615715,-6.133025708
2020,Roraima,-61.42353893,2.586049582
2020,Maranhao,-48.08887802,-2.425850817
2021,Mato Grosso,-56.16313175,-11.91809188
2027,Tocantins,-49.07425098,-12.41119628
2019,Para,-49.29638985,-5.036295013
2020,Para,-54.18922737,-2.996816769
2022,Rondonia,-59.32516407,-7.063080299
2022,Para,-53.04035801,-3.771365016
2022,Acre,-68.77465828,-9.226423693
2024,Mato Grosso,-59.74866283,-12.31330008
2025,Mato Grosso,-51.67913105,-11.30945072
2025,Amazonas,-62.62876175,-2.441049002
2025,Rondonia,-66.8697823,-9.482568674
2022,Para,-49.02534512,-3.455701879
2022,Para,-50.32372028,-5.582793275
2022,Amazonas,-59.95712879,-4.574830974
2028,Roraima,-60.43261696,1.034551866
2027,Rondonia,-64.26881737,-10.4169976
2020,Acre,-67.11762428,-9.492568511
2024,Mato Grosso,-59.8251553,-12.35503802
2019,Mato Grosso,-51.60813797,-10.87321983
2029,Para,-55.83893719,-4.199587764
2024,Maranhao,-44.67768856,-3.293443024
2026,Roraima,-61.66801113,2.988017917
2023,Rondonia,-60.42278046,-8.65783754
2029,Para,-52.63027622,-2.07637028
2027,Rondonia,-64.22930004,-10.13084396
2019,Rondonia,-62.32332527,-8.268089304
2023,Mato Grosso,-56.55153088,-10.83205602
2027,Para,-50.61165794,-5.399354978
2022,Rondonia,-62.59856838,-9.302636596
2028,Maranhao,-44.26347527,-2.910459709
2027,Mato Grosso,-59.25459938,-12.48566024
2028,Amazonas,-69.40982819,-2.151821
2019,Para,-54.17271805,-1.693934752
2027,Mato Grosso,-53.46877319,-12.60307906
2019,Rondonia,-63.46898697,-10.10509175
2027,Rondonia,-65.0743819,-10.28506615
2027,Para,-51.3098637,-4.981258296
2022,Para,-54.60237499,-2.896047419
2026,Rondonia,-64.93283615,-10.66398105
2026,Para,-49.78643852,-2.677628732
2025,Para,-48.13761864,-3.96925271
2029,Mato Grosso,-59.97565166,-12.41102674
2027,Para,-53.72748016,-2.542529812
2019,Roraima,-60.90925842,2.7476617
2026,Para,-50.70091518,-5.371842964
2026,Para,-54.14045559,-3.300170312
2027,Para,-50.34561317,-3.222146587
2019,Amazonas,-65.94247902,-1.875177154
2027,Rondonia,-63.79765396,-9.690595946
2019,Para,-56.34127033,-4.144028881
2020,Para,-52.54095695,-2.915126702
2024,Para,-53.19946922,-3.682750984
2028,Rondonia,-63.64499001,-9.38766767
2024,Para,-50.16460445,-4.561352497
2022,Para,-50.21936054,-4.652306368
2029,Para,-52.43827137,-2.161009039
2027,Para,-51.01565521,-5.573846407
2026,Para,-51.62263935,-2.813589778
2022,Para,-55.96325642,-5.326178939
2029,Para,-49.75878834,-3.404188139
2027,Para,-50.38227028,-4.09618475
2021,Para,-56.24424969,-4.942586453
2027,Para,-50.56674072,-5.417291236
2029,Para,-54.28960434,-1.549360198
2023,Mato Grosso,-56.62271152,-11.19873901
2027,Amazonas,-59.94983315,-5.162690368
2026,Para,-53.77138004,-2.103191863
2021,Mato Grosso,-59.37687107,-12.18762589
2019,Mato Grosso,-50.48089607,-11.65153693
2026,Rondonia,-62.26792706,-8.641518258
2019,Mato Grosso,-56.44543297,-10.75821578
2026,Rondonia,-63.95586773,-10.2629911
2029,Para,-55.38825886,-1.678045045
2026,Maranhao,-46.6901672,-4.105958655
2028,Amazonas,-58.02827431,-2.5891438
2024,Acre,-68.46415115,-9.281228851
2026,Para,-54.20094688,-3.290981159
2028,Maranhao,-46.07944061,-5.180906649
2022,Amazonas,-63.69035549,-7.667734021
2021,Para,-53.68484905,-2.417909505
2028,Para,-56.04025661,-3.302120249
2027,Mato Grosso,-50.57124557,-12.70459794
2028,Mato Grosso,-56.29127171,-12.68992796
2029,Para,-52.6662825,-2.037997928
2019,Para,-56.18946957,-3.969346673
2022,Para,-47.95299458,-3.855252926
2019,Mato Grosso,-58.50985897,-10.88224209
2028,Para,-51.73842442,-3.917281455
2021,Para,-54.76359364,-2.712743225
2021,Para,-52.55964508,-3.471924608
2025,Rondonia,-62.34164215,-8.769580289
2020,Para,-50.74624138,-6.187458436
2024,Para,-51.3210635,-3.488045158
2019,Para,-54.4515411,-3.478254174
2025,Roraima,-59.9989603,0.63827104
2029,Rondonia,-62.31838707,-9.968985885
2028,Rondonia,-64.20685829,-9.785858113
2028,Amazonas,-68.0678791,-3.10045872
2026,Mato Grosso,-56.38062302,-11.42968693
2024,Para,-49.87793755,-3.249882377
2026,Para,-54.22324154,-3.252717415
2022,Para,-50.25143974,-4.608390732
2019,Para,-56.21817142,-3.96634161
2027,Para,-56.13461269,-3.194697521
2020,Para,-55.29628998,-3.952792745
2025,Para,-52.8782827,-3.992410235
2028,Rondonia,-63.66986496,-9.385545688
2027,Maranhao,-45.79083382,-4.574833781
2022,Rondonia,-65.17580193,-10.19068004
2028,Maranhao,-45.66894806,-4.718369558
2026,Para,-51.29700371,-3.190779519
2024,Para,-48.47431946,-2.733023558
2027,Maranhao,-46.89624031,-4.148202243
2019,Amazonas,-59.23343349,-3.746187217
2026,Para,-51.75849644,-2.643585403
2029,Mato Grosso,-50.22650772,-12.35594458
2027,Roraima,-60.51746964,2.592190254
2025,Para,-50.45073555,-5.877456488
2022,Para,-48.58640823,-3.033847509
2021,Para,-55.40725967,-6.818635798
2027,Mato Grosso,-49.1673317,-13.0390259
2021,Mato Grosso,-54.73068851,-11.46334611
2023,Amazonas,-63.67455723,-5.919133002
2026,Rondonia,-62.49733688,-9.038612857
2021,Roraima,-59.90571381,1.020474926
2028,Amapa,-52.04655457,0.80638518
2027,Acre,-68.00403114,-9.250017051
2027,Acre,-72.51672356,-8.276438522
2023,Roraima,-60.15686581,2.818204543
2019,Mato Grosso,-51.59631649,-10.89490526
2020,Maranhao,-48.10711349,-2.42403742
2021,Para,-54.64707649,-4.872095699
2020,Maranhao,-48.09285076,-2.439314486
2028,Para,-47.94749783,-1.879211675
2026,Para,-54.10867451,-1.399445432
2023,Amazonas,-61.14857208,-3.64073899
2027,Amazonas,-66.29993469,-6.919763836
2021,Para,-49.35191006,-2.301594334
2019,Mato Grosso,-54.60136238,-11.36360377
2022,Rondonia,-62.80731499,-9.524867242
2024,Acre,-71.17193611,-8.681821165
2019,Maranhao,-47.05834797,-4.056676794
2026,Para,-51.1082159,-3.775248562
2022,Para,-51.28584625,-3.338824773
2026,Rondonia,-62.30677689,-8.925489032
2019,Amazonas,-57.41445415,-3.132289646
2019,Para,-46.65492973,-1.883823449
2029,Rondonia,-62.56470627,-9.720481612
2024,Para,-52.7106488,-3.033476018
2021,Amazonas,-60.58225273,-4.767256285
2019,Para,-50.38524879,-3.996252117
2027,Para,-52.98154129,-5.409867526
2020,Para,-46.45773685,-2.531003208
2028,Para,-49.76393509,0.162919757
2021,Amapa,-51.2571582,0.547618925
2024,Rondonia,-63.94861706,-10.02915157
2020,Mato Grosso,-59.12481182,-12.42531731
2021,Amazonas,-69.85914009,-7.686151364
2029,Para,-48.27547047,-1.935901814
2024,Mato Grosso,-56.83836952,-11.43577406
2020,Mato Grosso,-59.32709351,-12.41735524
2020,Para,-55.72684269,-3.105885663
2022,Para,-54.60715485,-3.874043069
2028,Amazonas,-59.38010628,-3.88660459
2020,Para,-50.58369957,-4.781586195
2027,Para,-53.66316055,-1.778776504
2029,Rondonia,-60.76441578,-6.509289181
2026,Para,-51.83953335,-3.831279355
2026,Para,-50.17552238,-3.179510726
2026,Amazonas,-56.845438,-2.79330039
2019,Maranhao,-46.47868504,-3.997443352
2021,Para,-51.17935371,-3.275236453
2024,Para,-50.3906675,-5.849306006
2025,Acre,-69.0887825,-9.402851916
2026,Para,-53.61378048,-2.422780817
2027,Para,-50.79084785,-4.12040012
2025,Mato Grosso,-54.64213058,-11.16739991
2027,Rondonia,-62.44269108,-9.191577623
2019,Roraima,-61.7348679,3.653980503
2019,Mato Grosso,-55.96776672,-10.94770926
2022,Rondonia,-63.85539413,-9.9317976
2024,Rondonia,-63.47914326,-9.596740475
2026,Para,-49.99169201,-3.785366944
2027,Para,-50.33191204,-4.827842493
2023,Amazonas,-70.08719345,-4.899444565
2023,Rondonia,-62.60800842,-9.196239226
2028,Para,-56.08120819,-4.567195057
2024,Maranhao,-46.45590424,-3.964547607
2027,Acre,-72.64652382,-8.000809871
2021,Maranhao,-48.31992424,-2.520842274
2026,Para,-50.02474232,-3.546630603
2021,Mato Grosso,-50.04704933,-11.03734385
2027,Para,-50.53555752,-4.821004038
2029,Mato Grosso,-59.97579712,-12.42150508
2028,Mato Grosso,-56.5198045,-12.52223769
2029,Roraima,-60.21710957,0.504173597
2026,Para,-47.93033382,-3.782982721
2019,Mato Grosso,-50.50023746,-10.82529564
2026,Para,-55.93578625,-2.309999373
2027,Rondonia,-64.70401466,-10.37357807
2029,Para,-54.49999615,-3.657612499
2019,Mato Grosso,-59.94561802,-11.47797043
2026,Acre,-68.31544945,-9.289838151
2028,Para,-51.09398651,-3.12677598
2028,Rondonia,-64.8035627,-9.925143334
2029,Maranhao,-45.74922062,-2.264776647
2020,Mato Grosso,-57.89457138,-11.42757029
2028,Para,-47.94044674,-3.845950696
2022,Para,-47.45518391,-1.497907917
2021,Amazonas,-66.62508636,-3.602936775
2029,Acre,-69.73432972,-8.353712607
2026,Para,-51.33136738,-3.351375771
2028,Para,-51.1272488,-4.436194413
2027,Acre,-67.94780945,-9.208161941
2026,Roraima,-60.75473656,2.370197719
2028,Para,-49.26870411,-2.465475613
2027,Mato Grosso,-50.60371975,-12.40521525
2026,Para,-51.34563469,-3.020883644
2027,Para,-54.21760456,-4.447188058
2026,Para,-51.31009537,-3.170844541
2026,Amazonas,-66.9217305,-8.019439513
2027,Para,-51.08192856,-4.11888041
2019,Para,-49.47484398,-4.423117299
2019,Maranhao,-45.89136055,-2.065182494
2021,Mato Grosso,-51.88165787,-12.19206
2026,Para,-54.21145535,-2.963456385
2022,Mato Grosso,-59.58720142,-12.54467266
2019,Amazonas,-59.47233971,-3.779637573
2026,Para,-48.00174225,-3.849742238
2023,Para,-57.32737839,-2.516552974
2019,Mato Grosso,-57.9114016,-10.54210988
2029,Para,-49.68670273,-4.408152533
2019,Amazonas,-59.18199898,-3.535742002
2020,Para,-52.67727406,-2.983594888
2024,Roraima,-60.28527645,2.255669
2020,Para,-49.26124207,-4.1521437
2022,Mato Grosso,-59.16013702,-11.66431971
2019,Amazonas,-67.90107552,-3.285606116
2026,Rondonia,-60.50483555,-8.465616621
2025,Mato Grosso,-51.3213166,-11.13095207
2028,Amazonas,-68.07133194,-3.076327472
2024,Para,-50.30642014,-4.329286983
2024,Para,-55.35899715,-4.451483331
2021,Amazonas,-60.98882507,-4.891886637
2028,Para,-50.40814903,-3.870065982
2029,Amazonas,-60.53157154,-4.899684494
2023,Para,-53.91483932,-1.220608373
2026,Para,-51.57743793,-3.31607739
2019,Amazonas,-59.36276863,-3.685966434
2027,Para,-50.73797333,-5.416002454
2019,Para,-48.29421165,-4.81270692
2026,Para,-49.81062412,-3.079082052
2019,Mato Grosso,-54.5655825,-11.43739761
2022,Rondonia,-63.83644829,-10.05738384
2026,Para,-54.21511116,-3.290528283
2027,Amazonas,-67.4805196,-8.245449207
2019,Para,-55.87122849,-3.993349071
2029,Acre,-66.83092213,-8.716323341
2027,Para,-48.06009731,-2.873779746
2026,Amapa,-52.34117424,-0.802572739
2023,Para,-48.57441841,-1.751650351
2020,Para,-48.94757217,-4.239020584
2026,Para,-51.22019039,-3.130004733
2028,Acre,-70.13272461,-7.878255425
2021,Para,-50.04154686,-3.109686673
2026,Para,-51.32437279,-2.806515076
2025,Acre,-69.08644341,-9.167494441
2025,Mato Grosso,-59.37591469,-10.82034247
2028,Para,-53.05079742,-3.27988956
2027,Rondonia,-64.25056881,-10.21309384
2029,Para,-49.77931122,-3.389362107
2027,Para,-50.7614286,-5.035978999
2019,Para,-51.18339672,-5.555836849
2024,Roraima,-60.97646702,2.519028409
2027,Para,-50.70298073,-5.617433057
2019,Amapa,-52.41509331,-0.776352919
2019,Mato Grosso,-56.64929649,-10.70485561
2025,Para,-47.61847565,-1.495735456
2024,Mato Grosso,-58.44690624,-11.08345082
2027,Para,-50.22131851,-4.053860703
2024,Para,-50.00068634,-3.288419065
2029,Mato Grosso,-58.31428864,-12.47507142
2019,Para,-49.2933099,-5.01209579
2022,Mato Grosso,-50.15336079,-10.37721485
2027,Para,-50.9817424,-3.199159656
2025,Mato Grosso,-56.68363789,-10.85110052
2026,Para,-51.47745384,-3.029424915
2029,Para,-51.2323381,-2.766908609
2027,Amazonas,-59.47613926,-3.427134359
2028,Para,-56.2688084,-4.469058484
2021,Mato Grosso,-58.03248222,-10.74245691
2023,Maranhao,-46.55376579,-4.034359732
2022,Amazonas,-67.7553904,-1.088408308
2021,Maranhao,-45.46823456,-4.56153331
2019,Para,-50.33590904,-8.397750249
2026,Para,-49.24092739,-5.233298774
2024,Amazonas,-66.38248325,-7.385300916
2020,Para,-50.98761311,-3.260447192
2019,Acre,-69.01490349,-8.698148878
2023,Rondonia,-60.40886276,-8.610620891
2023,Amapa,-51.71070591,3.639964323
2021,Para,-52.5309322,-3.412491567
2028,Rondonia,-62.41230373,-8.845563567
2021,Amazonas,-66.64230614,-3.708891161
2023,Acre,-70.1414019,-9.509294229
2019,Para,-54.73523933,-3.470932213
2028,Para,-47.43685589,-3.927994704
2027,Para,-49.29295231,-4.162639007
2029,Para,-54.57208447,-3.235393561
2022,Roraima,-61.95225777,3.642724376
2025,Para,-50.12368877,-3.47571014
2021,Para,-49.87420219,-6.79897187
2023,Acre,-68.6580175,-8.888112892
2020,Maranhao,-46.39001976,-3.389739377
2027,Roraima,-61.59959614,2.403635342
2020,Para,-48.73933548,-2.67177551
2024,Para,-48.17483841,-3.971835164
2020,Maranhao,-46.68017517,-3.944285483
2028,Mato Grosso,-53.42673679,-12.07885975
2028,Amazonas,-65.16909981,-3.644149358
2021,Para,-49.99212307,-4.341676927
2027,Amazonas,-60.8583807,-2.349541799
2025,Para,-52.8877322,-2.472142982
2022,Para,-48.69447006,-2.773575686
2020,Para,-50.77225319,-6.020852379
2029,Acre,-67.48011887,-8.918130851
2029,Amapa,-50.80538067,0.818628677
2026,Amazonas,-60.92058048,-5.215348279
2019,Rondonia,-62.90100574,-8.493859926
2027,Amazonas,-59.53116257,-3.566902162
2021,Para,-49.73043121,-5.464708753
2023,Para,-56.13099068,-3.724113567
2020,Mato Grosso,-54.56100601,-11.85390703
2026,Para,-50.46811405,-3.233909869
2019,Mato Grosso,-58.46316231,-10.92032666
2026,Para,-51.34363487,-2.872728071
2020,Mato Grosso,-51.37735161,-11.4851251
2027,Para,-50.54963139,-5.458803815
2020,Para,-51.25441696,-4.473351932
2028,Rondonia,-66.83041622,-9.11209711
2023,Acre,-72.2888765,-7.959140358
2025,Maranhao,-45.27965519,-4.464979087
2023,Acre,-71.41268936,-8.44451221
