,Entity,Code,Year,Net forest conversion
4,Argentina,ARG,1990,-182600.0
5,Argentina,ARG,2000,-316400.0
6,Argentina,ARG,2010,-223400.0
7,Argentina,ARG,2015,-104800.0
42,Bolivia,BOL,1990,-270330.0
43,Bolivia,BOL,2000,-201540.0
44,Bolivia,BOL,2010,-211760.0
45,Bolivia,BOL,2015,-238690.0
46,Brazil,BRA,1990,-3780940.0
47,Brazil,BRA,2000,-3950790.0
48,Brazil,BRA,2010,-1539179.9999999998
49,Brazil,BRA,2015,-1453040.0
77,Chile,CHL,1990,57100.0
78,Chile,CHL,2000,90820.0
79,Chile,CHL,2010,174160.0
80,Chile,CHL,2015,122920.0
85,Colombia,COL,1990,-222260.0
86,Colombia,COL,2000,-192770.0
87,Colombia,COL,2010,-134630.0
88,Colombia,COL,2015,-198550.0
115,Ecuador,ECU,1990,-90170.0
116,Ecuador,ECU,2000,-70229.99999999999
117,Ecuador,ECU,2010,-41800.0
118,Ecuador,ECU,2015,-64269.99999999999
143,French Guyana,,1990,-4560.0
144,French Guyana,,2000,-4290.0
145,French Guyana,,2010,-3300.0000000000005
146,French Guyana,,2015,-3430.0
175,Guyana,GUY,1990,-3790.0
176,Guyana,GUY,2000,-4440.0
177,Guyana,GUY,2010,-11690.0
178,Guyana,GUY,2015,-9200.0
338,Paraguay,PRY,1990,-255420.0
339,Paraguay,PRY,2000,-342140.0
340,Paraguay,PRY,2010,-414250.0
341,Paraguay,PRY,2015,-279340.0
342,Peru,PER,1990,-115070.0
343,Peru,PER,2000,-124800.0
344,Peru,PER,2010,-171050.0
345,Peru,PER,2015,-172830.0
396,Suriname,SUR,1990,-3680.0
397,Suriname,SUR,2000,-4100.000000000001
398,Suriname,SUR,2010,-9640.0
399,Suriname,SUR,2015,-11080.0
447,Uruguay,URY,2000,36230.0
448,Uruguay,URY,2010,37740.0
456,Venezuela,VEN,1990,-287500.0
457,Venezuela,VEN,2000,-164600.00000000006
458,Venezuela,VEN,2010,-164400.0
459,Venezuela,VEN,2015,-90420.0
