year;area km²;uf
2020;25.00;TOCANTINS
2020;297.00;RORAIMA
2020;1,273.00;RONDÔNIA
2020;4,899.00;PARÁ
2020;1,779.00;MATO GROSSO
2020;336.00;MARANHÃO
2020;24.00;AMAPÁ
2020;1,512.00;AMAZONAS
2020;706.00;ACRE
2019;23.00;TOCANTINS
2019;590.00;RORAIMA
2019;1,257.00;RONDÔNIA
2019;4,172.00;PARÁ
2019;1,702.00;MATO GROSSO
2019;237.00;MARANHÃO
2019;32.00;AMAPÁ
2019;1,434.00;AMAZONAS
2019;682.00;ACRE
2018;25.00;TOCANTINS
2018;195.00;RORAIMA
2018;1,316.00;RONDÔNIA
2018;2,744.00;PARÁ
2018;1,490.00;MATO GROSSO
2018;253.00;MARANHÃO
2018;24.00;AMAPÁ
2018;1,045.00;AMAZONAS
2018;444.00;ACRE
2017;24.00;AMAPÁ
2017;132.00;RORAIMA
2017;1,243.00;RONDÔNIA
2017;2,433.00;PARÁ
2017;1,561.00;MATO GROSSO
2017;265.00;MARANHÃO
2017;31.00;TOCANTINS
2017;1,001.00;AMAZONAS
2017;257.00;ACRE
2016;17.00;AMAPÁ
2016;202.00;RORAIMA
2016;1,376.00;RONDÔNIA
2016;2,992.00;PARÁ
2016;1,489.00;MATO GROSSO
2016;258.00;MARANHÃO
2016;58.00;TOCANTINS
2016;1,129.00;AMAZONAS
2016;372.00;ACRE
2015;57.00;TOCANTINS
2015;156.00;RORAIMA
2015;1,030.00;RONDÔNIA
2015;2,153.00;PARÁ
2015;1,601.00;MATO GROSSO
2015;209.00;MARANHÃO
2015;25.00;AMAPÁ
2015;712.00;AMAZONAS
2015;264.00;ACRE
2014;50.00;TOCANTINS
2014;219.00;RORAIMA
2014;309.00;ACRE
2014;1,887.00;PARÁ
2014;1,075.00;MATO GROSSO
2014;257.00;MARANHÃO
2014;31.00;AMAPÁ
2014;500.00;AMAZONAS
2014;684.00;RONDÔNIA
2013;74.00;TOCANTINS
2013;170.00;RORAIMA
2013;221.00;ACRE
2013;2,346.00;PARÁ
2013;1,139.00;MATO GROSSO
2013;403.00;MARANHÃO
2013;23.00;AMAPÁ
2013;583.00;AMAZONAS
2013;932.00;RONDÔNIA
2012;52.00;TOCANTINS
2012;124.00;RORAIMA
2012;773.00;RONDÔNIA
2012;1,741.00;PARÁ
2012;757.00;MATO GROSSO
2012;269.00;MARANHÃO
2012;27.00;AMAPÁ
2012;523.00;AMAZONAS
2012;305.00;ACRE
2011;40.00;TOCANTINS
2011;141.00;RORAIMA
2011;865.00;RONDÔNIA
2011;3,008.00;PARÁ
2011;1,120.00;MATO GROSSO
2011;396.00;MARANHÃO
2011;66.00;AMAPÁ
2011;502.00;AMAZONAS
2011;280.00;ACRE
2010;49.00;TOCANTINS
2010;256.00;RORAIMA
2010;435.00;RONDÔNIA
2010;3,770.00;PARÁ
2010;871.00;MATO GROSSO
2010;712.00;MARANHÃO
2010;53.00;AMAPÁ
2010;595.00;AMAZONAS
2010;259.00;ACRE
2009;61.00;TOCANTINS
2009;121.00;RORAIMA
2009;482.00;RONDÔNIA
2009;4,281.00;PARÁ
2009;1,049.00;MATO GROSSO
2009;828.00;MARANHÃO
2009;70.00;AMAPÁ
2009;405.00;AMAZONAS
2009;167.00;ACRE
2008;107.00;TOCANTINS
2008;574.00;RORAIMA
2008;1,136.00;RONDÔNIA
2008;5,607.00;PARÁ
2008;3,258.00;MATO GROSSO
2008;1,271.00;MARANHÃO
2008;100.00;AMAPÁ
2008;604.00;AMAZONAS
2008;254.00;ACRE
2007;63.00;TOCANTINS
2007;309.00;RORAIMA
2007;1,611.00;RONDÔNIA
2007;5,526.00;PARÁ
2007;2,678.00;MATO GROSSO
2007;631.00;MARANHÃO
2007;39.00;AMAPÁ
2007;610.00;AMAZONAS
2007;184.00;ACRE
2006;30.00;AMAPÁ
2006;231.00;RORAIMA
2006;2,049.00;RONDÔNIA
2006;5,659.00;PARÁ
2006;4,333.00;MATO GROSSO
2006;674.00;MARANHÃO
2006;124.00;TOCANTINS
2006;788.00;AMAZONAS
2006;398.00;ACRE
2005;33.00;AMAPÁ
2005;133.00;RORAIMA
2005;3,244.00;RONDÔNIA
2005;5,899.00;PARÁ
2005;7,145.00;MATO GROSSO
2005;922.00;MARANHÃO
2005;271.00;TOCANTINS
2005;775.00;AMAZONAS
2005;592.00;ACRE
2004;158.00;TOCANTINS
2004;311.00;RORAIMA
2004;3,858.00;RONDÔNIA
2004;8,870.00;PARÁ
2004;11,814.00;MATO GROSSO
2004;755.00;MARANHÃO
2004;46.00;AMAPÁ
2004;1,232.00;AMAZONAS
2004;728.00;ACRE
2003;156.00;TOCANTINS
2003;439.00;RORAIMA
2003;1,078.00;ACRE
2003;7,145.00;PARÁ
2003;10,405.00;MATO GROSSO
2003;993.00;MARANHÃO
2003;25.00;AMAPÁ
2003;1,558.00;AMAZONAS
2003;3,597.00;RONDÔNIA
2002;212.00;TOCANTINS
2002;84.00;RORAIMA
2002;883.00;ACRE
2002;7,510.00;PARÁ
2002;7,892.00;MATO GROSSO
2002;1,085.00;MARANHÃO
2002;0.00;AMAPÁ
