Year,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Peru,Paraguay,Suriname,Uruguay,Venezuela
1990,12.86371493,53.35984492,70.45802056,20.50490093,58.54721947,52.85439243,94.499111,59.72542188,64.298666,98.57455128,4.559478917,58.98305085
1991,12.79699199,53.11029909,70.00565437,20.5816979,58.34689139,52.52867721,94.47984252,59.63552266,63.65577397,98.55098718,4.885727345,58.65710561
1992,12.73026905,52.86075325,69.55328817,20.65849486,58.14656332,52.202962,94.46057404,59.54562344,63.01288195,98.52742308,5.211975774,58.33116037
1993,12.66354611,52.61120742,69.10092198,20.73529182,57.94623524,51.87724679,94.44130556,59.45572422,62.36998993,98.50385897,5.538224203,58.00521512
1994,12.59682317,52.36166159,68.64855578,20.81208879,57.74590717,51.55153157,94.42203708,59.365825,61.72709791,98.48029487,5.864472632,57.67926988
1995,12.53010023,52.11211576,68.19618958,20.88888575,57.54557909,51.22581636,94.40276861,59.27592578,61.08420589,98.45673077,6.19072106,57.35332464
1996,12.46337729,51.86256993,67.74382339,20.96568271,57.34525101,50.90010114,94.38350013,59.18602656,60.44131387,98.43316667,6.516969489,57.0273794
1997,12.39665435,51.61302409,67.29145719,21.04247968,57.14492294,50.57438593,94.36423165,59.09612734,59.79842185,98.40960256,6.843217918,56.70143416
1998,12.32993141,51.36347826,66.83909099,21.11927664,56.94459486,56.01079884,94.34496317,59.00622813,59.15552983,98.38603846,7.169466347,56.37548892
1999,12.26320847,51.11393243,66.3867248,21.19607361,56.74426679,55.64773313,94.32569469,58.91632891,58.51263781,98.36247436,7.495714775,56.04954368
2000,12.19648554,50.8643866,65.9343586,21.27287057,56.54393871,55.28466742,94.30642621,58.82642969,57.86974578,98.33891026,7.821963204,55.72359844
2001,12.08087142,50.6783458,65.4616709,21.3950173,56.37019288,55.00188839,94.28386589,58.72892734,57.00857287,98.31262179,8.028968118,55.5369877
2002,11.9652573,50.49230499,64.98898319,21.51716402,56.19644705,54.71910936,94.26130556,58.631425,56.14739995,98.28633333,8.235973032,55.35037696
2003,11.84964318,50.30626419,64.51629549,21.63931075,56.02270122,54.43633033,94.23874524,58.53392266,55.28622703,98.26004487,8.442977945,55.16376623
2004,11.73402906,50.12022339,64.04360779,21.76145748,55.84895539,54.1535513,94.21618491,58.43642031,54.42505412,98.23375641,8.649982859,54.97715549
2005,11.61841495,49.93418259,63.57092009,21.8836042,55.67520955,53.87077227,94.19362459,58.33891797,53.5638812,98.20746795,8.856987773,54.79054475
2006,11.50280083,49.74814179,63.09823238,22.00575093,55.50146372,53.58799324,94.17106426,58.24141563,52.70270828,98.18117949,9.063992687,54.60393402
2007,11.38718671,49.56210099,62.62554468,22.12789766,55.32771789,53.30521421,94.14850394,58.14391328,51.84153536,98.15489103,9.2709976,54.41732328
2008,11.27157259,49.37606019,62.15285698,22.25004438,55.15397206,53.02243517,94.12594361,58.04641094,50.98036245,98.12860256,9.478002514,54.23071254
2009,11.15595848,49.19001939,61.68016927,22.37219111,54.98022623,52.73965614,94.10338329,57.94890859,50.11918953,98.1023141,9.685007428,54.04410181
2010,11.04034436,49.00397858,61.20748157,22.49433784,54.8064804,52.45687711,94.08082296,57.85140625,49.25801661,98.07602564,9.892012341,53.85749107
2011,10.9587129,48.80850365,61.02332816,22.72857658,54.68514105,52.28856499,94.02143764,57.71777031,48.21534357,98.01424359,10.10764484,53.67110708
2012,10.87708144,48.61302871,60.83917474,22.96281532,54.56380171,52.12025286,93.96205232,57.58413438,47.17267053,97.95246154,10.32327734,53.48472309
2013,10.79544998,48.41755377,60.65502133,23.19705406,54.44246237,51.95194073,93.90266701,57.45049844,46.12999748,97.89067949,10.53890984,53.2983391
2014,10.71381852,48.22207883,60.47086792,23.4312928,54.32112303,51.7836286,93.84328169,57.3168625,45.08732444,97.82889744,10.75454234,53.1119551
2015,10.63218706,48.0266039,60.28671451,23.66553154,54.19978369,51.61531648,93.78389637,57.18322656,44.0446514,97.76711538,10.97017484,52.92557111
2016,10.60039683,47.77132835,60.07103255,23.83086404,54.04190176,51.3565389,93.73716027,57.03928125,43.62730934,97.69435897,11.12444292,52.76714472
2017,10.55983688,47.53274255,59.83288148,23.99619653,53.84386661,51.09776131,93.69037338,56.90217188,42.63848477,97.6475641,11.24442921,52.63667593
2018,10.52037315,47.31213884,59.70842795,24.16152903,53.66424516,50.83898373,93.64363729,56.77815625,41.93538887,97.56910256,11.3644155,52.53416473
2019,,,,,,,,,,,,
2020,,,,,,,,,,,,
