event-id,visible,timestamp,long,lat,argos:best-level,argos:calcul-freq,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individualID,study-name
9018011221,TRUE,13:00.0,-122.433,37.058,,,,37.058,,,-122.433,,,,,gps,Balaenoptera musculus,1993CA-ST6-00834,1993CA-Bmu-00834,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011222,TRUE,20:00.0,-122.412,37.012,,,,37.012,,,-122.412,,,,,gps,Balaenoptera musculus,1993CA-ST6-10823,1993CA-Bmu-10823,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011223,TRUE,54:00.0,-122.415,37.022,,,,37.022,,,-122.415,,,,,gps,Balaenoptera musculus,1993CA-ST6-10833,1993CA-Bmu-10833,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011224,TRUE,40:00.0,-122.773,37.198,,,,37.198,,,-122.773,,,,,gps,Balaenoptera musculus,1993CA-ST6-10836,1993CA-Bmu-10836,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011225,TRUE,28:00.0,-123.102,37.687,,,,37.687,,,-123.102,,,,,gps,Balaenoptera musculus,1994CA-ST10-10820,1994CA-Bmu-10820,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011226,TRUE,31:00.0,-123,37.6,,,,37.6,,,-123,,,,,gps,Balaenoptera musculus,1994CA-ST10-10821,1994CA-Bmu-10821,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011227,TRUE,35:00.0,-123.4,37,,,,37,,,-123.4,,,,,gps,Balaenoptera musculus,1994CA-ST10-10822,1994CA-Bmu-10822,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011228,TRUE,22:00.0,-123.142,37.745,,,,37.745,,,-123.142,,,,,gps,Balaenoptera musculus,1994CA-ST10-10823,1994CA-Bmu-10823,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011229,TRUE,00:00.0,-123.125,37.745,,,,37.745,,,-123.125,,,,,gps,Balaenoptera musculus,1994CA-ST10-10824,1994CA-Bmu-10824,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011230,TRUE,00:00.0,-120.458,34.236,,,,34.236,,,-120.458,,,,,gps,Balaenoptera musculus,1994CA-ST10-10828,1994CA-Bmu-10828,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011231,TRUE,55:00.0,-120.048,34.123,,,,34.123,,,-120.048,,,,,gps,Balaenoptera musculus,1994CA-ST10-10829,1994CA-Bmu-10829,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011232,TRUE,58:00.0,-119.941,34.147,,,,34.147,,,-119.941,,,,,gps,Balaenoptera musculus,1994CA-ST6-00848,1994CA-Bmu-00848,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011233,TRUE,27:00.0,-119.938,34.148,,,,34.148,,,-119.938,,,,,gps,Balaenoptera musculus,1994CA-ST6-23029,1994CA-Bmu-23029,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011234,TRUE,09:00.0,-119.51,33.374,,,,33.374,,,-119.51,,,,,gps,Balaenoptera musculus,1995CA-ST10-04172,1995CA-Bmu-04172,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011235,TRUE,30:00.0,-120.099,34.159,,,,34.159,,,-120.099,,,,,gps,Balaenoptera musculus,1995CA-ST10-04173,1995CA-Bmu-04173,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011236,TRUE,37:00.0,-120.565,34.046,,,,34.046,,,-120.565,,,,,gps,Balaenoptera musculus,1995CA-ST10-04176,1995CA-Bmu-04176,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011237,TRUE,06:00.0,-120.084,34.115,,,,34.115,,,-120.084,,,,,gps,Balaenoptera musculus,1995CA-ST10-23037,1995CA-Bmu-23037,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011238,TRUE,21:00.0,-120.109,34.152,,,,34.152,,,-120.109,,,,,gps,Balaenoptera musculus,1995CA-ST10-23040,1995CA-Bmu-23040,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011239,TRUE,42:00.0,-120.225,34.149,,,,34.149,,,-120.225,,,,,gps,Balaenoptera musculus,1995CA-ST10-23041,1995CA-Bmu-23041,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011240,TRUE,02:00.0,-119.4,33.31,,,,33.31,,,-119.4,,,,,gps,Balaenoptera musculus,1995CA-ST10-23042,1995CA-Bmu-23042,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011241,TRUE,54:00.0,-120.554,34.031,,,,34.031,,,-120.554,,,,,gps,Balaenoptera musculus,1995CA-ST10-23043,1995CA-Bmu-23043,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011242,TRUE,28:00.0,-120.046,34.154,,,,34.154,,,-120.046,,,,,gps,Balaenoptera musculus,1995CA-ST6-00837,1995CA-Bmu-00837,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011243,TRUE,41:00.0,-120.22,34.163,,,,34.163,,,-120.22,,,,,gps,Balaenoptera musculus,1995CA-ST6-00841,1995CA-Bmu-00841,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011244,TRUE,40:00.0,-120.217,34.137,,,,34.137,,,-120.217,,,,,gps,Balaenoptera musculus,1995CA-ST6-00845,1995CA-Bmu-00845,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011245,TRUE,14:00.0,-120.525,33.994,,,,33.994,,,-120.525,,,,,gps,Balaenoptera musculus,1995CA-ST6-02082,1995CA-Bmu-02082,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011246,TRUE,20:00.0,-120.085,34.096,,,,34.096,,,-120.085,,,,,gps,Balaenoptera musculus,1995CA-ST6-02083,1995CA-Bmu-02083,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011247,TRUE,10:00.0,-120.535,34.022,,,,34.022,,,-120.535,,,,,gps,Balaenoptera musculus,1995CA-ST6-23031,1995CA-Bmu-23031,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011248,TRUE,58:00.0,-124.426,41.916,,,,41.916,,,-124.426,,,,,gps,Balaenoptera musculus,1998CA-ST15-00823,1998CA-Bmu-00823,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011249,TRUE,04:00.0,-122.395,37.01,,,,37.01,,,-122.395,,,,,gps,Balaenoptera musculus,1998CA-ST15-00824,1998CA-Bmu-00824,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011250,TRUE,50:00.0,-122.432,37.082,,,,37.082,,,-122.432,,,,,gps,Balaenoptera musculus,1998CA-ST15-00826,1998CA-Bmu-00826,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011251,TRUE,52:00.0,-119.525,33.386,,,,33.386,,,-119.525,,,,,gps,Balaenoptera musculus,1998CA-ST15-00827,1998CA-Bmu-00827,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011252,TRUE,35:00.0,-119.2,33.192,,,,33.192,,,-119.2,,,,,gps,Balaenoptera musculus,1998CA-ST15-00833,1998CA-Bmu-00833,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011253,TRUE,04:00.0,-123.054,37.607,,,,37.607,,,-123.054,,,,,gps,Balaenoptera musculus,1998CA-ST15-01390,1998CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018011254,TRUE,45:00.0,-119.183,33.196,,,,33.196,,,-119.183,,,,,gps,Balaenoptera musculus,1998CA-ST15-04174,1998CA-Bmu-04174,Blue whales Eastern North Pacific 1993-2008 - Argos Data
